,Unnamed: 0,title,poster,release_date,over_view
0,0,바이킹스,/t/p/w94_and_h141_bestv2/oktTNFM8PzdseiK1X0E0XhB6LvP.jpg,"3월  3, 2013",2013년 3월 History에서 방영을 시작한 역사물. 바이킹 영웅 라그나 로스브로크는 새로운 대륙을 향해 탐험하고 싶어하지만 카테가트의 영주인 백작은 모험적인 항해를 원치 않아 라그나의 의견을 묵살한다. 라그나는 친구이자 배를 만드는 기술자인 플로키의 도움을 받아 백작 몰래 출항에 성공한다. 라그나는 새로운 대륙인 잉글랜드를 발견하고 동료들과 함께 노섬브리아 왕국 영토에 있는 수도원을 잔인하게 약탈하고 수도승 애설스탠을 노예로 삼는다. 처음 보는 바이킹의 야만적인 침략에 노섬브리아 왕국은 크게 분노하면서도 바이킹을 두려워하는데...
1,1,더 보이즈,/t/p/w94_and_h141_bestv2/mY7SeH4HFFxW1hiI6cWuwCRKptN.jpg,"7월 25, 2019",20만 명이 넘는 슈퍼히어로가 유명세에 취해 무모한 행동을 일삼고 부패한 세상에 슈퍼히어로와 상대조차 되지 않는 일반인으로 구성된 CIA 비밀 자경팀이 그들을 막으려 하는 이야기
2,2,반지의 제왕: 힘의 반지,/t/p/w94_and_h141_bestv2/mYLOqiStMxDK3fYZFirgrMt8z5d.jpg,"9월  1, 2022","익숙하고도 새로운 캐릭터들은 가운데땅에서의 악의 부활을 마주한다. 안개산맥의 가장 어두운 곳부터 린돈의 장엄한 숲까지, 그리고 누메노르 섬 왕국부터 지도의 가장 먼 곳에 이르기까지 다양한 왕국과 캐릭터들은 운명을 다한 후에도 오래도록 지속될 유산을 남길 것이다."
3,3,블루 록,/t/p/w94_and_h141_bestv2/2FwZ4fzLowDvuNpFsfU211yUaHg.jpg,"10월  9, 2022","세계 제일의 에고이스트가 아니면,"
4,4,카니발 로우,/t/p/w94_and_h141_bestv2/y16BMvX8aimbhk8goq1GVRexpVV.jpg,"8월 29, 2019","네오 빅토리아 시대를 배경으로 한다. 전쟁으로 폐허가 된 고향을 떠난 마법 생명체들이 빈민가 ‘카니발 로우’에 모여들면서 인간과 갈등이 발생하고, 끔찍한 연쇄살인의 피해자가 된다는 이야기를 그린다. 올랜도 블룸이 살인사건을 수사하는 인간 탐정을, 카라 델러비인은 전쟁을 피해 카니발 로우에 입성한 요정이자 주인공의 마음을 사로잡는 인물로 등장한다."
5,5,페리퍼럴,/t/p/w94_and_h141_bestv2/ccBe5BVeibdBEQU7l6P6BubajWV.jpg,"10월 20, 2022","애팔래치아산맥에 위치한 작은 마을. 이 지루한 곳의 유일한 탈출구는 최첨단 비디오 게임밖에 없다. 뛰어난 실력을 갖춘 그녀에게 한 기업이 신작 테스트를 의뢰하는데... 이 게임은 상상 그 이상이다. 그토록 꿈꾸던 삶의 목적, 로맨스, 화려함이 담겨있다. 그러나 게임 때문에 그녀와 가족이 위험에 처하게 된다."
6,6,포켓몬스터 W: 신이라 불리는 아르세우스,/t/p/w94_and_h141_bestv2/t9bRCiAqLyLVw7swegQj2A7FyGE.jpg,"1월 21, 2022","신화 속 포켓몬 아르세우스의 전설을 조사하는 동안, 애쉬, 고, 던은 세계를 위협하는 팀 갤럭틱의 음모를 밝혀낸다. 아르세우스 연대기에서 가장 사랑받는 프랜차이즈 캐릭터 중 하나인, 다시 한 번 그 귀환을 즐길 준비를 하세요."
7,7,페이크,/t/p/w94_and_h141_bestv2/uvMYKFvcqAYTENDZ37USvo3FBZr.jpg,"2월 10, 2023","뛰어난 무명 예술가 서니가 완벽한 위조지폐를 만들어내면서 위험천만한 위조 업계로 뛰어들고, 불같은 성미로 특이하게 사건을 해결하는 마이클은 인도에서 위조지폐라는 위협을 제거하려고 한다. 쫓고 쫓기는 추격전 속, 패배란 용납되지 않는 스릴러다!"
8,8,보슈,/t/p/w94_and_h141_bestv2/1DhhUJnHcuGG7NhEbXW3t34OVr8.jpg,"1월 14, 2015",베테랑 강력반 형사 해리 보쉬는 수사를 하던 중 과실치사 혐의로 재판을 받게 되고 휴직을 하게 된다. 어느 날 힐즈에서 신원 미상 아이의 뼈가 발견된 후 사건 현장에 도착한 해리는 상관의 휴직 명령을 무시하면서 본격적인 수사를 하게된다.
9,9,데이지 존스 & 더 식스,/t/p/w94_and_h141_bestv2/ltfscPUljehY7IwGG85vij2TEbQ.jpg,"3월  2, 2023","1977년, 데이지 존스 더 식스는 세계 최고였다. 놀라운 리드 싱어/작곡가 데이지 존스와 빌리 던이 이끌던 이 무명의 밴드는 엄청난 인기를 얻는다. 그런데 시카고 솔저 필드에서의 매진 공연 후 이들은 갑자기 은퇴를 선언한다. 수십 년이 지난 지금, 밴드의 멤버들은 그때의 진실을 밝히기로 한다. 미국의 상징적인 록 밴드가 왜 정점에서 붕괴했는지 그 이야기를 파헤쳐 본다."
