,count,title,poster,release_date,over_view
0,0,테드 래소,/t/p/w94_and_h141_bestv2/lKSNsuonUq57p7BkJAzoGpz5tl2.jpg,"8월 14, 2020","미국 미식축구 코치 테드 래소. 축구에 대해 아무것도 모르는 그는 영국 축구팀 코치로 발탁되며 런던으로 떠난다. 하지만 모든 것이 낯설기만 한데… 그는 긍정적인 에너지와 투지, 그리고 비스킷으로 자신을 부족함을 채워보려 한다. 골든 글로브 수상에 빛나는 제이슨 서디키스 주연의 코미디 시리즈."
1,1,리에종,/t/p/w94_and_h141_bestv2/keLn4FQGDKvtMZeORtrhBQpN5C5.jpg,"2월 24, 2023","애인 사이였던 두 요원이 힘을 합해 영국을 위협하는 국제적 사이버 공격에 맞서는 가운데, 묻어 두어야 했던 두 사람 사이의 비밀과도 마주하게 된다."
2,2,어둠의 나날,/t/p/w94_and_h141_bestv2/1kZdBrH1C07Zf2131QUpmju3kO6.jpg,"11월  1, 2019","먼 미래, 살아남은 인류는 시력을 잃었다. 그렇게 시력이 전설적인 능력으로 여겨지던 어느 날, 시력이 있는 쌍둥이가 태어난다.  바바 보스는 쌍둥이를 해치려는 위협적인 여왕으로부터 부족을 보호해야 한다."
3,3,에코 3: 스페셜 포스 유닛,/t/p/w94_and_h141_bestv2/8rENW21v9jZXHC7xNnNsqsXsqmL.jpg,"11월 22, 2022",훌륭한 과학자 앰버 체스버러가 콜롬비아와 베네수엘라 국경에서 사라지자 미 육군 특공대원들인 앰버의 남편과 오빠는 게릴라 전쟁에서 앰버를 찾기 위해 고군분투하는 도중에 그들이 사랑하는 여자에게 비밀이 있을지도 모른다는 사실을 알게 된다.
4,4,서번트,/t/p/w94_and_h141_bestv2/di8oOmHiD7WnqeagDU57oqaYmdx.jpg,"11월 28, 2019","슬픔에 빠진 한 필라델피아 부부의 이야기를 다루는 드라마. 입에 담지 못할 비극으로 인해 이들의 결혼 생활에 균열이 생기고, 불가사의한 힘이 집 안으로 들어오도록 문을 열게 된다. M. 나이트 샤말란 제작 참여."
5,5,포 올 맨카인드,/t/p/w94_and_h141_bestv2/izrGAVvWoLL5zjNfOpyD2feydx.jpg,"11월  1, 2019","2019년 11월 Apple TV+에서 방영을 시작한 SF물. 끝없이 경쟁하며 치열하게 우주 개발을 매진하는 세상. 그 속에서 우리는 어떤 모습으로 살아갈까. 유명한 소련 로켓 공학자 코롤료프 박사가 암 수술에 성공해 살아남았고, 미국의 케네디 대통령도 실패에서 나올 후폭풍을 두려워하며 달 탐사 계획에 적극적이지 않아 소련이 미국을 앞서서 최초로 달에 착륙한다. 소련의 잇따른 성공에 자극 받은 미국이 우주경쟁에 이기기 위해 적극적으로 우주 프로그램에 투자하고, 달에서 얼음이 발견 되면서 달에 우주 기지를 세울수 있게 되어 실제 역사보다 수십년치 이상 우주기술이 발전하게 된다. NASA 우주 비행사들과 가족의 위태로운 삶을 조명하며 매혹적인 만약의 역사 속으로 빠져보자."
6,6,인베이션,/t/p/w94_and_h141_bestv2/7rpiHZx10Nm50AtzTUEO9eyaKdq.jpg,"10월 21, 2021",갑작스런 외계인의 침공으로 생존을 위협받는 인류. 일상은 사라졌고 세상은 혼란에 빠졌다. 각자가 처한 믿을 수 없는 현실을 극복하려는 다섯 명의 평범한 사람들. 시시각각 발생하는 위기 상황에 대처할 수 있을까?
7,7,트루스 비 톨드,/t/p/w94_and_h141_bestv2/zBc5nqwYy9cwJGoA16Sc4jmgyuP.jpg,"12월  6, 2019",범죄 팟캐스트의 세계로. 옥타비아 스펜서가 위험을 무릅쓰고 진실과 정의를 좇는 팟캐스터 포피 파넬 역을 맡아 열연을 펼친다. NAACP 이미지 어워드 수상작.
8,8,블랙 버드,/t/p/w94_and_h141_bestv2/79M2yNSmkh4CCMrWNV6b2xvIeNn.jpg,"7월  7, 2022",10년의 형기를 시작한 지미 킨은 놀라운 제안을 받는다. 살인 혐의를 받은 래리 홀에게서 자백을 받아 낼 수 있다면 지미는 자유의 몸이 된다. 이 임무 완수는 생애 최고의 도전이 된다.
9,9,아카풀코,/t/p/w94_and_h141_bestv2/gzBkO4zFr75A13GKnjvTeg25pze.jpg,"10월  8, 2021","1984년 어느 날, 막시모 가야르도는 아카풀코에서 가장 핫한 리조트 라스 콜리나스에 취직하며 마침내 꿈꿔 왔던 일을 이룬다. 하지만 일생일대의 기회를 잡은 기쁨도 잠시, 출근하고 보니 결코 쉬운 일이 아님을 깨닫는데..."
10,10,선사시대: 공룡이 지배하던 지구,/t/p/w94_and_h141_bestv2/yMdFsHKp4YX2CUkAQcZswxXDuoe.jpg,"5월 23, 2022","2022년 5월 Apple TV+에서 방영을 시작한 다큐멘터리. 현생 조류를 제외한 공룡들이 마지막으로 번성한 시기인 마스트리히트절 내에서 K-Pg 멸종이 일어나기 이전의 지구를 배경으로 백악기 말에 살았던 공룡들의 삶을 CG를 통해 재현함으로써 웅장한 공룡과 특별한 생물들이 땅과 바다, 하늘을 누볐던 6,600만 년 전으로 거슬러 올라가며 전례 없는 경이로움을 선사한다."
11,11,세브란스: 단절,/t/p/w94_and_h141_bestv2/dI0ZQxmpEaUILPX2kxjDGm3V6DF.jpg,"2월 17, 2022",마크는 시술로 직장 생활과 사생활의 기억이 나뉜 사람들로 이루어진 부서의 팀장이다. 회사 밖에서 의문에 싸인 동료가 나타나면서 그들의 일에 대한 진실을 밝히는 여정이 시작된다.
