,count,title,poster,release_date,over_view
0,0,만달로리안,/t/p/w94_and_h141_bestv2/9wOTABT35GsYNHtmFnxbRYN9d24.jpg,"11월 12, 2019","은하 제국이 붕괴한 후, 고독한 총잡이는 은하 외곽에서 현상금 사냥꾼 일을 하며 홀로 살아간다."
1,1,멀티버스의 밀라,/t/p/w94_and_h141_bestv2/ojqIechyCSSM87li6oL2Wyt9zhJ.jpg,"1월 25, 2023","멀티버스를 여행하며 엄마 일리스를 찾으려는 16살 소녀 밀라의 모험 이야기. 멀티버스를 여행하며 수상하고 위험한 조직의 요원들을 마주하게 되는데, 이들은 모든 세계를 파괴하려 한다. 밀라는 광활한 멀티버스를 구하기 위해 이들과 맞서 싸워야 한다."
2,2,윌로우,/t/p/w94_and_h141_bestv2/sUNpu0Pd3YGRV3MqTovVuRx9RI4.jpg,"11월 30, 2022",위대한 마법사 윌로우와 각양각색 좌충우돌 영웅들의 세계를 구하기 위한 위대한 전설의 시작!
3,3,마블 루차 리브레 에디션: 마스크의 기원,/t/p/w94_and_h141_bestv2/pwQ6GO05De3pj6u5U6x3psGI2Fz.jpg,"1월 18, 2023",다큐멘터리 제작진이 모두가 탐내는 챔피언 벨트를 위한 마지막 경기에 리르기까지의 극적인 경기들을 통해 마블의 슈퍼히어로에서 아이디어를 얻은 레슬러들을 따라갑니다. 하지만 엘 심비온테라고 하는 위험물이 경기를 위협합니다.
4,4,로키,/t/p/w94_and_h141_bestv2/xNpqbYzKvL2hmG8L8myIkF9uLGR.jpg,"6월  9, 2021","2021년 6월 Disney+에서 방영을 시작한 드라마. 어벤져스: 엔드게임의 2012년 뉴욕 전투 직후. 아스가르드로 연행되던 로키는 뜬금없이 자신 앞에 밀려온 테서랙트를 들고 탈출해 또다른 가능성의 로키로 분화된다. 하지만 엉겹결에 고비 사막 한 가운데에 추락한 로키는 포털을 열고 나타난 TVA 요원들에 의해 단숨에 제압당하고 연행된다. 한편 1549년 프로방스 지방에 있는 성당, 모비어스는 이곳에서 헌터들에게 시간선 간섭이 일어났다는 보고를 받는데..."
5,5,변호사 쉬헐크,/t/p/w94_and_h141_bestv2/LEXtdLNI3SrzAA2bd5xJsXm2Ee.jpg,"8월 18, 2022",꽃다운 30대 솔로. 직업은 슈퍼휴먼 사건 전담 변호사. 특이 사항은 늘씬한 2m 키에 초록색 꿀피부. 그리고 힘이 좀 세다고나 할까? 사람들은 이런 나를 슈퍼 히어로 쉬헐크라 부르지. 난 평범한 제니퍼 월터스이고 싶은데.
6,6,스타워즈: 안도르,/t/p/w94_and_h141_bestv2/e1TmfQtcZyZlsQqMtEzwoNnfhT7.jpg,"9월 21, 2022",기만과 음모로 얼룩진 위험한 시대. 무자비한 은하 제국의 압제에 맞서 반란의 불씨가 된 카시안 안도르. 반란군 영웅으로 거듭날 그의 운명적인 여정이 시작된다.
7,7,스타워즈: 배드 배치,/t/p/w94_and_h141_bestv2/49otrKpUVzMz8O2Wd02urwakYLY.jpg,"5월  4, 2021",배드 배치는 급변하는 은하계에서 자신들의 길을 찾아야 한다.
8,8,문나이트,/t/p/w94_and_h141_bestv2/h9fjtMeoaI3LrW8avMZoJPoniLZ.jpg,"3월 30, 2022","온화한 성격의 기념품점 직원, 스티븐 그랜트는 일시적 기억 상실과 또 다른 생의 기억으로 힘들어하는 도중 자신이 해리성 정체 장애를 갖고 있다는 것과 마크 스펙터라는 용병과 몸을 공유한다는 사실을 알게 된다. 스티븐/마크에게 적이 모여들자 둘은 얽힌 정체성을 넘나들며 이집트의 강력한 신들 간의 위험한 미스터리에 빠져든다."
9,9,스타워즈: 클론전쟁,/t/p/w94_and_h141_bestv2/e1nWfnnCVqxS2LeTO3dwGyAsG2V.jpg,"10월  3, 2008","어둠의 세력으로 인해 은하계 전체가 전쟁에 휩싸이고 제다이 기사단 역시 평화를 회복하기 위해 전투에 나선다. 그러나 점점 더 많은 행성들이 다크 사이드 포스의 손아귀에 빠져든다.  은하계의 미래가 달려있는 임무를 맡게 된 '아나킨’과 그의 제자 '아소카'. 둘은 은하계 범죄단의 수괴 '자바 더 헛'의 아들이 납치 당하자 그 아들을 구출하기 위해 떠난다.  한편, ‘오비완’과 ‘요다’는 클론군대를 이끌고 다크 사이드 포스 진영에 맞서 먼 훗날 전설로 기억될 클론전쟁을 시작하는데…"
