,id,title,genre_ids,vote_average,vote_count,poster_path
0,616037,Thor: Love and Thunder,"['Action', 'Adventure', 'Fantasy']",6.8,1803,/t/p/w94_and_h141_bestv2/un8ZDtx2SMwNwXRYy65aItnNjab.jpg
1,766507,Prey,"['Action', 'Thriller', 'Science Fiction', 'Horror']",8.2,2006,/t/p/w94_and_h141_bestv2/eicYAopFKOL3orcNTJZ4TGtZQQ1.jpg
2,507086,Jurassic World Dominion,"['Adventure', 'Action', 'Science Fiction']",7.1,2706,/t/p/w94_and_h141_bestv2/odxdUZWZ7fBfy3ZRj063wuJnZvo.jpg
3,438148,Minions: The Rise of Gru,"['Family', 'Animation', 'Adventure', 'Comedy', 'Fantasy']",7.8,1273,/t/p/w94_and_h141_bestv2/1heBUD8o0sgdqLWyeXkylR2POKb.jpg
4,361743,Top Gun: Maverick,"['Action', 'Drama']",8.3,1877,/t/p/w94_and_h141_bestv2/jeqXUwNilvNqNXqAHsdwm5pEfae.jpg
5,756999,The Black Phone,"['Horror', 'Thriller']",8.0,1736,/t/p/w94_and_h141_bestv2/eJPIkRiYGnvQaPCZtTRTDmhMJVK.jpg
6,453395,Doctor Strange in the Multiverse of Madness,"['Fantasy', 'Action', 'Adventure']",7.5,5198,/t/p/w94_and_h141_bestv2/vL5ktZauR0fZMDOHKjakb1idhuU.jpg
7,718789,Lightyear,"['Animation', 'Science Fiction', 'Adventure', 'Action', 'Family']",7.3,1574,/t/p/w94_and_h141_bestv2/oMa5NjFxK8Csp6uVQ0tRuF1pWM5.jpg
8,725201,The Gray Man,"['Action', 'Thriller']",7.1,1470,/t/p/w94_and_h141_bestv2/3weHvdbJ9RiSNHS0cz5694fkAnk.jpg
9,614934,Elvis,"['Music', 'Drama', 'History']",7.9,897,/t/p/w94_and_h141_bestv2/rNJ53qjgIsfZKpiqUZaREerHRxD.jpg
10,762975,Purple Hearts,"['Romance', 'Drama']",8.6,987,/t/p/w94_and_h141_bestv2/bETrhE8ALy0fmfpG0j7ek6Da4Or.jpg
11,585511,Luck,"['Animation', 'Adventure', 'Comedy', 'Fantasy']",8.3,295,/t/p/w94_and_h141_bestv2/nN2iHej7TyISjXC6Jl577aqpDHJ.jpg
12,759175,The Princess,"['Fantasy', 'Action']",7.0,414,/t/p/w94_and_h141_bestv2/9pCoqX24a6rE981fY1O3PmhiwrB.jpg
13,919355,Dragon Knight,"['Fantasy', 'Adventure', 'Action']",7.3,19,/t/p/w94_and_h141_bestv2/zkGFADykBtfPfTv7YJooxTH52ph.jpg
14,634649,Spider-Man: No Way Home,"['Action', 'Adventure', 'Science Fiction']",8.0,14606,/t/p/w94_and_h141_bestv2/voddFVdjUoAtfoZZp2RUmuZILDI.jpg
15,961484,Last Seen Alive,"['Action', 'Thriller']",6.6,213,/t/p/w94_and_h141_bestv2/nnfm6vscrAX8LDCC73T1OwdcalZ.jpg
16,854467,Indemnity,"['Action', 'Thriller', 'Crime']",7.0,49,/t/p/w94_and_h141_bestv2/3sKNGgvP4AV5xMdgubSOp6jJ6jw.jpg
17,924482,The Ledge,['Thriller'],6.3,77,/t/p/w94_and_h141_bestv2/qXU3lr4YmyT8y6kaX1CcpRiqia2.jpg
18,728366,Borrego,"['Thriller', 'Crime']",6.0,36,/t/p/w94_and_h141_bestv2/iAVIAbyhFKbVpXozBhICQboPuRD.jpg
19,675353,Sonic the Hedgehog 2,"['Action', 'Adventure', 'Family', 'Comedy']",7.7,2752,/t/p/w94_and_h141_bestv2/arCDDZdvamNY628gWJVjlCycf69.jpg
20,810693,Jujutsu Kaisen 0,"['Animation', 'Action', 'Fantasy']",7.8,244,/t/p/w94_and_h141_bestv2/gHcga1wgDD4MAeApoOM7yDn9BOq.jpg
